Timestamp,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,MagX,MagY,MagZ,IsStationary,TargetYawDrift
4,49888,0,0,0,0,0,0,0,0,0,1,0
4,49888,0,0,0,0,0,0,0,0,0,1,-1,724487
4,51888,0,0,0,0,0,0,0,0,0,1,7,071075
4,535468,0,0,0,0,0,0,0,0,0,1,7,18277
4,552059,0,0,0,0,0,0,0,0,0,1,7,216522
4,56865,0,0,0,0,0,0,0,0,0,1,7,196014
4,585241,0,0,0,0,0,0,0,0,0,1,7,179626
4,601835,0,0,0,0,0,0,0,0,0,1,7,156097
4,61843,0,0,0,0,0,0,0,0,0,1,7,190765
4,635026,0,0,0,0,0,0,0,0,0,1,7,201355
4,668222,0,0,0,0,0,0,0,0,0,1,7,235413
4,684821,0,0,0,0,0,0,0,0,0,1,7,244904
4,751212,0,0,0,0,0,0,0,0,0,1,7,108734
4,767807,0,0,0,0,0,0,0,0,0,1,7,062012
4,784401,0,0,0,0,0,0,0,0,0,1,7,043579
4,800995,0,0,0,0,0,0,0,0,0,1,7,093445
4,81759,0,0,0,0,0,0,0,0,0,1,7,346588
4,834184,0,0,0,0,0,0,0,0,0,1,7,501923
4,850778,0,0,0,0,0,0,0,0,0,1,7,570038
4,867373,0,0,0,0,0,0,0,0,0,1,7,488037
4,883967,0,0,0,0,0,0,0,0,0,1,7,432587
4,900562,0,0,0,0,0,0,0,0,0,1,7,416809
5,215739,0,0,0,0,0,0,0,0,0,1,7,239624
5,232333,0,0,0,0,0,0,0,0,0,1,7,240753
5,248922,0,0,0,0,0,0,0,0,0,1,7,267944
5,265517,0,0,0,0,0,0,0,0,0,1,7,322571
5,282112,0,0,0,0,0,0,0,0,0,1,7,329315
5,298708,0,0,0,0,0,0,0,0,0,1,7,375916
5,315304,0,0,0,0,0,0,0,0,0,1,7,473816
5,331901,0,0,0,0,0,0,0,0,0,1,7,537415
5,348498,0,0,0,0,0,0,0,0,0,1,7,666962
5,365095,0,0,0,0,0,0,0,0,0,1,7,579559
5,514458,0,0,0,0,0,0,0,0,0,1,7,205658
5,547652,0,0,0,0,0,0,0,0,0,1,6,921051
5,680424,0,0,0,0,0,0,0,0,0,1,7,34082
5,697019,0,0,0,0,0,0,0,0,0,1,7,40918
5,713613,0,0,0,0,0,0,0,0,0,1,7,618073
5,730207,0,0,0,0,0,0,0,0,0,1,7,972839
5,746801,0,0,0,0,0,0,0,0,0,1,8,139221
5,763394,0,0,0,0,0,0,0,0,0,1,8,133392
5,779989,0,0,0,0,0,0,0,0,0,1,7,98645
5,796584,0,0,0,0,0,0,0,0,0,1,7,925934
5,813179,0,0,0,0,0,0,0,0,0,1,7,945587
5,829772,0,0,0,0,0,0,0,0,0,1,7,978912
5,846364,0,0,0,0,0,0,0,0,0,1,7,999908
5,862957,0,0,0,0,0,0,0,0,0,1,8,067017
5,879548,0,0,0,0,0,0,0,0,0,1,8,142914
5,896139,0,0,0,0,0,0,0,0,0,1,8,268951
5,91273,0,0,0,0,0,0,0,0,0,1,8,50174
5,929321,0,0,0,0,0,0,0,0,0,1,8,424652
5,945911,0,0,0,0,0,0,0,0,0,1,8,256104
5,962502,0,0,0,0,0,0,0,0,0,1,8,118164
5,979093,0,0,0,0,0,0,0,0,0,1,8,058289
5,995682,0,0,0,0,0,0,0,0,0,1,8,171082
6,012272,0,0,0,0,0,0,0,0,0,1,8,216705
6,028862,0,0,0,0,0,0,0,0,0,1,8,25412
6,045452,0,0,0,0,0,0,0,0,0,1,8,396515
6,062042,0,0,0,0,0,0,0,0,0,1,8,797211
6,078634,0,0,0,0,0,0,0,0,0,1,9,267517
6,095226,0,0,0,0,0,0,0,0,0,1,9,715088
6,111818,0,0,0,0,0,0,0,0,0,1,10,03204
6,128412,0,0,0,0,0,0,0,0,0,1,9,748779
6,145006,0,0,0,0,0,0,0,0,0,1,9,416534
6,1616,0,0,0,0,0,0,0,0,0,1,9,116608
6,178193,0,0,0,0,0,0,0,0,0,1,8,853516
6,194787,0,0,0,0,0,0,0,0,0,1,8,853149
6,21138,0,0,0,0,0,0,0,0,0,1,9,065643
6,227976,0,0,0,0,0,0,0,0,0,1,8,908905
6,244571,0,0,0,0,0,0,0,0,0,1,8,76413
6,261167,0,0,0,0,0,0,0,0,0,1,9,136169
6,277761,0,0,0,0,0,0,0,0,0,1,9,31308
6,294353,0,0,0,0,0,0,0,0,0,1,9,484589
6,310947,0,0,0,0,0,0,0,0,0,1,10,23886
6,32754,0,0,0,0,0,0,0,0,0,1,10,56665
6,344133,0,0,0,0,0,0,0,0,0,1,10,45569
6,360727,0,0,0,0,0,0,0,0,0,1,10,24219
6,377321,0,0,0,0,0,0,0,0,0,1,9,798798
6,393916,0,0,0,0,0,0,0,0,0,1,8,983612
6,410511,0,0,0,0,0,0,0,0,0,1,8,143219
6,427107,0,0,0,0,0,0,0,0,0,1,7,517212
